symbol,contract_id,direction,entry_time_utc,entry,stop,target,rr_planned,split,exit_time_utc,exit_reason,r_result,mark_r,roll_level,atr_15m,atr_4h
NAVERUSDC,30000145,LONG,2026-08-24T10:45:00+00:00,162.89,161.71171981188877,167.905537993701,4.256659871147381,True,2026-08-24T23:30:00+00:00,SL,-1.0,0.0,162.15,0.5165603762224666,2.2178480251960595
LITUSDC,30000042,LONG,2026-08-24T11:00:00+00:00,3.4237,3.3468471810684712,3.7243226745768956,3.9116675062333286,True,2026-08-24T16:00:00+00:00,SL,-1.0,0.0,3.4145,0.057305637863057764,0.20230930169241865
LITUSDC,30000042,LONG,2026-08-24T11:15:00+00:00,3.4659,3.346509976232819,3.7243226745768956,2.1645248608111394,False,2026-08-24T16:00:00+00:00,SL,-1.0,0.0,3.4145,0.057980047534362165,0.20230930169241865
NAVERUSDC,30000145,LONG,2026-08-24T11:15:00+00:00,162.89,161.7556226079154,167.905537993701,4.42140158001933,True,2026-08-24T23:30:00+00:00,SL,-1.0,0.0,162.15,0.48875478416920076,2.2178480251960595
LITUSDC,30000042,LONG,2026-08-24T14:00:00+00:00,3.431,3.3790969059419536,3.723697840678546,5.639313917417013,True,2026-08-24T15:00:00+00:00,SL,-1.0,0.0,3.4145,0.05340618811609334,0.2048086372858173
PENDLEUSDC,30000074,LONG,2026-08-24T14:00:00+00:00,1.7856,1.7591185329615275,1.9590672969254512,6.550516883125702,True,2026-08-24T17:30:00+00:00,TP1_THEN_SL,0.5,0.0,1.7679,0.017562934076945157,0.08013081229819552
LITUSDC,30000042,LONG,2026-08-24T14:15:00+00:00,3.4437,3.379964295472784,3.723697840678546,4.393108113506188,True,2026-08-24T15:00:00+00:00,SL,-1.0,0.0,3.4145,0.05167140905443215,0.2048086372858173
PENDLEUSDC,30000074,LONG,2026-08-24T14:15:00+00:00,1.802,1.7590825694367649,1.9590672969254512,3.659755368952621,True,2026-08-24T17:30:00+00:00,SL,-1.0,0.0,1.7679,0.01763486112647042,0.08013081229819552
PENDLEUSDC,30000074,LONG,2026-08-24T14:30:00+00:00,1.8063,1.7592162319404003,1.9590672969254512,3.2445851982805403,True,2026-08-24T17:30:00+00:00,SL,-1.0,0.0,1.7679,0.01736753611919958,0.08013081229819552
LITUSDC,30000042,LONG,2026-08-24T15:15:00+00:00,3.4177,3.336547588755733,3.723697840678546,3.7706561762841426,True,2026-08-24T17:00:00+00:00,SL,-1.0,0.0,3.4145,0.050304822488533574,0.2048086372858173
LITUSDC,30000042,LONG,2026-08-24T15:30:00+00:00,3.4348,3.3375714625802324,3.723697840678546,2.9713276404773894,False,2026-08-24T17:00:00+00:00,SL,-1.0,0.0,3.4145,0.04825707483953514,0.2048086372858173
AMDUSDC,30000021,SHORT,2026-08-24T16:00:00+00:00,461.04,464.3943104740355,453.4576730678298,2.260472604090284,False,2026-08-25T00:15:00+00:00,TP,2.260472604090284,0.0,461.81,2.4886209480710355,5.910692271319002
NATGASUSDC,30000009,LONG,2026-08-24T16:30:00+00:00,2.835,2.813509030287836,2.8848899264323205,2.3214367290314843,False,2026-08-24T20:30:00+00:00,SL,-1.0,0.0,2.831,0.010981939424328166,0.028440294270718227
NBISUSDC,30000142,SHORT,2026-08-24T16:30:00+00:00,209.16,211.76298411951015,203.74564173960488,2.08005812244987,False,2026-08-24T16:45:00+00:00,SL,-1.0,0.0,209.49,2.0059682390203273,5.422566958419599
QQQUSDC,30000011,SHORT,2026-08-24T16:45:00+00:00,708.83,710.4818111857813,704.2900398737191,2.7484740177089457,False,2026-08-25T06:00:00+00:00,SL,-1.0,0.0,709.88,1.2036223715626613,3.0001594948766934
SKUUUSDC,30000141,SHORT,2026-08-24T16:45:00+00:00,21.33,21.75881819654269,20.24693934856749,2.5256872496656717,False,2026-08-25T00:15:00+00:00,TP,2.5256872496656717,0.0,21.55,0.2976363930853848,0.9877573942699589
SNXXUSDC,30000119,SHORT,2026-08-24T16:45:00+00:00,13.26,13.598079936743922,11.833124615360202,4.220526655270236,True,2026-08-25T05:45:00+00:00,TP1_THEN_SL,0.5,0.0,13.31,0.2561598734878432,0.6924984614408027
QQQUSDC,30000011,SHORT,2026-08-24T17:00:00+00:00,708.57,710.4513187448629,704.2900398737191,2.2749787286008165,False,2026-08-25T05:30:00+00:00,SL,-1.0,0.0,709.88,1.142637489725726,3.0001594948766934
SNXXUSDC,30000119,SHORT,2026-08-24T17:00:00+00:00,13.04,13.598573911676054,11.833124615360202,2.1606368636488087,False,2026-08-25T05:45:00+00:00,SL,-1.0,0.0,13.31,0.25714782335210645,0.6924984614408027
NATGASUSDC,30000009,LONG,2026-08-24T17:15:00+00:00,2.832,2.81378785550849,2.8848899264323205,2.9041020653540537,False,2026-08-24T20:30:00+00:00,SL,-1.0,0.0,2.831,0.010424288983019983,0.028440294270718227
NAVERUSDC,30000145,LONG,2026-08-24T17:15:00+00:00,162.6,161.93988434260822,167.9329256170177,8.07877461669218,True,2026-08-24T23:30:00+00:00,SL,-1.0,0.0,162.15,0.42023131478355535,2.1082975319292543
UAIUSDC,30000131,LONG,2026-08-24T17:30:00+00:00,0.3554,0.34493651958834903,0.37652727773482236,2.0191443863456175,False,2026-08-25T01:30:00+00:00,SL,-1.0,0.0,0.3498,0.007926960823301889,0.022290889060710584
NATGASUSDC,30000009,LONG,2026-08-24T17:45:00+00:00,2.832,2.8168222783776615,2.8848899264323205,3.48470789940422,True,2026-08-24T20:15:00+00:00,SL,-1.0,0.0,2.831,0.010355443244677307,0.028440294270718227
XAUUSDC,30000005,LONG,2026-08-24T17:45:00+00:00,4642.3,4627.181062697644,4676.699896771888,2.275285364569038,False,2026-08-24T23:30:00+00:00,TP,2.275285364569038,0.0,4634.8,12.837874604712649,27.200412912446435
NATGASUSDC,30000009,LONG,2026-08-24T18:00:00+00:00,2.834,2.8168707249010247,2.8848899264323205,2.9709328700876902,False,2026-08-24T20:15:00+00:00,SL,-1.0,0.0,2.831,0.010258550197950628,0.028440294270718227
VIRTUALUSDC,30000075,LONG,2026-08-24T18:00:00+00:00,0.78,0.7693993383502787,0.8247652838491413,4.222876394731287,True,2026-08-25T02:45:00+00:00,TP1_THEN_TP2,3.1114381973656435,0.0,0.7784,0.013001323299442511,0.03693886460343454
NAVERUSDC,30000145,LONG,2026-08-24T18:15:00+00:00,162.48,161.9486378697381,167.9329256170177,10.262164551188626,True,2026-08-24T23:30:00+00:00,SL,-1.0,0.0,162.15,0.4027242605238496,2.1082975319292543
VIRTUALUSDC,30000075,LONG,2026-08-24T18:15:00+00:00,0.7871,0.769538444939539,0.8247652838491413,2.1447578941310774,False,2026-08-24T20:00:00+00:00,SL,-1.0,0.0,0.7784,0.012723110120921916,0.03693886460343454
