setup_key,symbol,contract_id,direction,breakout_time_utc,entry_time_utc,entry,stop,target,rr_planned,split,exit_time_utc,exit_reason,r_result,mark_r,roll_level,atr_15m,atr_4h
30000045:roll:HOUR_4:1780531200000:down,ADAUSDC,30000045,SHORT,2026-06-04T00:00:00+00:00,2026-06-04T04:45:00+00:00,0.1994,0.20281149529326564,0.18940574764663284,2.9295811643345897,False,2026-06-04T09:30:00+00:00,TP,2.9295811643345897,0.0,0.1998,0.0018350854194875475,0.006022990586531296
30000025:roll:HOUR_4:1780516800000:down,COINUSDC,30000025,SHORT,2026-06-03T20:00:00+00:00,2026-06-04T08:30:00+00:00,162.49,164.68218667536087,157.1810933376804,2.421740229511109,False,2026-06-04T12:45:00+00:00,SL,-1.0,0.0,162.72,0.8478052790789953,3.924373350721709
30000029:roll:HOUR_4:1780488000000:down,MSFTUSDC,30000029,SHORT,2026-06-03T12:00:00+00:00,2026-06-04T13:15:00+00:00,433.5,436.84960445669446,425.5048022283473,2.386908028998366,False,2026-06-05T01:15:00+00:00,TP,2.386908028998366,0.0,434.04,1.1633514407698482,5.619208913388929
30000013:roll:HOUR_4:1780488000000:down,AMZNUSDC,30000013,SHORT,2026-06-03T12:00:00+00:00,2026-06-04T14:15:00+00:00,253.39,255.67889748065681,248.21944874032837,2.2589702262190685,False,2026-06-05T13:45:00+00:00,SL,-1.0,0.0,254.52,0.8141414436429465,2.31779496131359
30000052:roll:HOUR_4:1780632000000:down,ZECUSDC,30000052,SHORT,2026-06-05T04:00:00+00:00,2026-06-05T21:00:00+00:00,368.4,411.9331390498026,263.6165695249013,2.406980814207418,False,2026-06-07T06:00:00+00:00,SL,-1.0,0.0,386.3,13.71077741031196,51.26627809960519
30000012:roll:HOUR_4:1780704000000:down,AAPLUSDC,30000012,SHORT,2026-06-06T00:00:00+00:00,2026-06-06T06:45:00+00:00,306.64,308.0456171198624,303.58280855993115,2.174981648180305,False,2026-06-06T07:45:00+00:00,TP,2.174981648180305,0.0,306.66,0.7202663539529909,2.7712342397247567
30000065:roll:HOUR_4:1780675200000:down,ARBUSDC,30000065,SHORT,2026-06-05T16:00:00+00:00,2026-06-06T08:45:00+00:00,0.0799,0.08223408086708982,0.07496704043354491,2.1134484396016706,False,2026-06-07T05:30:00+00:00,SL,-1.0,0.0,0.0803,0.000785034052187701,0.0038681617341796517
30000001:roll:HOUR_4:1780660800000:down,BTCUSDC,30000001,SHORT,2026-06-05T12:00:00+00:00,2026-06-06T09:45:00+00:00,61058.4,61849.15591052284,59475.527955261416,2.0017201562135845,False,2026-06-07T05:00:00+00:00,SL,-1.0,0.0,61060.1,330.3861198591799,1578.1118210456746
30000011:roll:HOUR_4:1780704000000:down,QQQUSDC,30000011,SHORT,2026-06-06T00:00:00+00:00,2026-06-06T09:45:00+00:00,700.51,704.1898061921178,690.4849030960588,2.7243545938411478,False,2026-06-06T12:15:00+00:00,SL,-1.0,0.0,700.74,2.270136807374476,6.899612384235505
30000060:roll:HOUR_4:1780660800000:down,BCHUSDC,30000060,SHORT,2026-06-05T12:00:00+00:00,2026-06-06T10:15:00+00:00,219.92,225.48539334723367,204.61269667361682,2.750444105445264,False,2026-06-07T06:00:00+00:00,SL,-1.0,0.0,220.02,2.7164417043575924,10.930786694467312
30000053:roll:HOUR_4:1780660800000:down,DOGEUSDC,30000053,SHORT,2026-06-05T12:00:00+00:00,2026-06-06T13:15:00+00:00,0.08193,0.08343408550603158,0.07834204275301579,2.3854742516938265,False,2026-06-07T01:30:00+00:00,SL,-1.0,0.0,0.08199,0.0006425319831146936,0.0028881710120631774
30000021:roll:HOUR_4:1780704000000:down,AMDUSDC,30000021,SHORT,2026-06-06T00:00:00+00:00,2026-06-06T13:30:00+00:00,456.5,464.2971637651628,438.9235818825814,2.2542066124029434,False,2026-06-07T13:30:00+00:00,SL,-1.0,0.0,457.09,2.639294880644726,14.414327530325624
30000038:roll:HOUR_4:1780704000000:down,TSMUSDC,30000038,SHORT,2026-06-06T00:00:00+00:00,2026-06-06T13:30:00+00:00,405.19,409.475655001012,396.117827500506,2.116869532743938,False,2026-06-07T05:15:00+00:00,SL,-1.0,0.0,405.3,1.2430100299407163,8.351310002024016
30000007:roll:HOUR_4:1780747200000:down,COPPERUSDC,30000007,SHORT,2026-06-06T12:00:00+00:00,2026-06-06T16:45:00+00:00,6.177,6.220763662403285,6.080881831201643,2.19630084686744,False,2026-06-07T02:30:00+00:00,SL,-1.0,0.0,6.183,0.016213399482272777,0.07552732480657078
30000009:roll:HOUR_4:1780891200000:down,NATGASUSDC,30000009,SHORT,2026-06-08T04:00:00+00:00,2026-06-09T01:30:00+00:00,3.166,3.1864128873015303,3.1227064436507654,2.1208933214454566,False,2026-06-09T04:30:00+00:00,SL,-1.0,0.0,3.167,0.008659858279754793,0.03882577460306093
30000033:roll:HOUR_4:1781006400000:down,LITEUSDC,30000033,SHORT,2026-06-09T12:00:00+00:00,2026-06-09T21:00:00+00:00,827.62,845.4467040833805,786.8983520416901,2.2843060482657536,False,2026-06-10T13:45:00+00:00,SL,-1.0,0.0,828.77,9.53599612237554,33.35340816676096
30000008:roll:HOUR_4:1781006400000:down,CLUSDC,30000008,SHORT,2026-06-09T12:00:00+00:00,2026-06-09T22:15:00+00:00,87.883,88.71413237146514,85.59206618573256,2.75640065640676,False,2026-06-10T00:45:00+00:00,SL,-1.0,0.0,87.888,0.43259060547681444,1.6522647429302706
30000017:roll:HOUR_4:1781006400000:down,BZUSDC,30000017,SHORT,2026-06-09T12:00:00+00:00,2026-06-10T01:15:00+00:00,91.07,91.90950113588974,89.10975056794487,2.3350170098073133,False,2026-06-10T11:30:00+00:00,SL,-1.0,0.0,91.13,0.40672989376394736,1.559002271779502
30000030:roll:HOUR_4:1781006400000:down,PLTRUSDC,30000030,SHORT,2026-06-09T12:00:00+00:00,2026-06-10T03:00:00+00:00,131.23,132.52972576763455,127.98986288381727,2.4929390467341674,False,2026-06-10T14:45:00+00:00,SL,-1.0,0.0,131.37,0.4378502108062801,2.3194515352690535
30000016:roll:HOUR_4:1781049600000:down,XPTUSDC,30000016,SHORT,2026-06-10T00:00:00+00:00,2026-06-10T14:30:00+00:00,1702.11,1717.8824460079288,1666.2412230039645,2.2741416884866137,False,2026-06-10T20:15:00+00:00,TP,2.2741416884866137,0.0,1705.24,8.672459950211662,25.284892015857647
30000047:roll:HOUR_4:1781092800000:up,CRVUSDC,30000047,LONG,2026-06-10T12:00:00+00:00,2026-06-10T21:30:00+00:00,0.21,0.2055619480822304,0.2202809740411152,2.316551097555006,False,2026-06-11T01:45:00+00:00,TP,2.316551097555006,0.0,0.209,0.002100462988263664,0.006876103835539153
30000005:roll:HOUR_4:1781121600000:down,XAUUSDC,30000005,SHORT,2026-06-10T20:00:00+00:00,2026-06-11T02:30:00+00:00,4081.8,4104.726815886921,4034.2634079434606,2.073405757301779,False,2026-06-11T06:00:00+00:00,SL,-1.0,0.0,4082.8,15.737715486000365,43.85363177384175
30000006:roll:HOUR_4:1781121600000:down,XAGUSDC,30000006,SHORT,2026-06-10T20:00:00+00:00,2026-06-11T13:15:00+00:00,63.39,64.13078485281305,61.86039242640653,2.064847260017473,False,2026-06-11T14:00:00+00:00,SL,-1.0,0.0,63.45,0.3319264324387244,1.361569705626094
30000066:roll:HOUR_4:1781208000000:up,XMRUSDC,30000066,LONG,2026-06-11T20:00:00+00:00,2026-06-12T04:30:00+00:00,374.28,362.2560862206584,422.6230431103292,4.0205746645811775,True,2026-06-12T05:15:00+00:00,SL,-1.0,0.0,370.51,8.303160458846905,16.507827558683157
30000043:roll:HOUR_4:1781308800000:up,TRUMPUSDC,30000043,LONG,2026-06-13T00:00:00+00:00,2026-06-13T06:30:00+00:00,2.208,2.1442735659060723,2.3366367829530366,2.0185780795993646,False,2026-06-13T09:15:00+00:00,SL,-1.0,0.0,2.195,0.045939112596415276,0.10145286818785493
30000070:roll:HOUR_4:1781352000000:up,TAOUSDC,30000070,LONG,2026-06-13T12:00:00+00:00,2026-06-13T20:15:00+00:00,251.6,244.29484497511265,273.59742248755634,3.0112191202808307,True,2026-06-14T02:30:00+00:00,TP1_THEN_TP2,2.5056095601404156,0.0,249.3,3.8601999046641673,10.01031004977469
30000017:roll:HOUR_4:1781467200000:down,BZUSDC,30000017,SHORT,2026-06-14T20:00:00+00:00,2026-06-15T00:00:00+00:00,82.84,83.71177592387197,80.32088796193598,2.8896324950974406,False,2026-06-16T09:00:00+00:00,TP,2.8896324950974406,0.0,82.89,0.5887974503010909,1.6435518477439222
30000033:roll:HOUR_4:1781467200000:up,LITEUSDC,30000033,LONG,2026-06-14T20:00:00+00:00,2026-06-15T02:15:00+00:00,949.42,939.7580694209031,969.7840347104516,2.1076569060129935,False,2026-06-15T05:00:00+00:00,TP,2.1076569060129935,0.0,949.09,4.957199791384062,18.663861158193857
30000032:roll:HOUR_4:1781467200000:up,INTCUSDC,30000032,LONG,2026-06-14T20:00:00+00:00,2026-06-15T04:30:00+00:00,129.06,126.79814076507179,134.4190703825359,2.3693209107709943,False,2026-06-15T17:30:00+00:00,SL,-1.0,0.0,128.22,0.6307346069509754,2.84371846985642
30000059:roll:HOUR_4:1781524800000:up,AAVEUSDC,30000059,LONG,2026-06-15T12:00:00+00:00,2026-06-15T20:30:00+00:00,74.41,73.39989579589543,77.10994789794772,2.6729399669622884,False,2026-06-15T22:30:00+00:00,SL,-1.0,0.0,74.36,0.5812152992886157,1.9202084082091269
