setup_key,symbol,contract_id,direction,breakout_time_utc,entry_time_utc,entry,stop,target,rr_planned,split,exit_time_utc,exit_reason,r_result,mark_r,roll_level,atr_15m,atr_4h
30000031:roll:HOUR_4:1780200000000:up,CRWVUSDC,30000031,LONG,2026-05-31T04:00:00+00:00,2026-06-01T01:30:00+00:00,114.13,113.14139719707036,116.38718681356937,2.283208996454804,False,2026-06-01T05:15:00+00:00,SL,-1.0,0.0,113.78,0.6972056058592575,2.2912527457224763
30000030:roll:HOUR_4:1780257600000:up,PLTRUSDC,30000030,LONG,2026-05-31T20:00:00+00:00,2026-06-01T01:30:00+00:00,160.78,158.87687866066156,164.97018108191648,2.201741420950627,False,2026-06-01T08:30:00+00:00,SL,-1.0,0.0,160.44,1.3662426786769026,2.1592756723339965
30000032:roll:HOUR_4:1780300800000:down,INTCUSDC,30000032,SHORT,2026-06-01T08:00:00+00:00,2026-06-01T15:15:00+00:00,111.05,112.50643321137983,106.83077329345656,2.896958592798171,False,2026-06-01T15:30:00+00:00,SL,-1.0,0.0,111.7,1.5528664227596443,2.6030931738262333
30000005:roll:HOUR_4:1780315200000:down,XAUUSDC,30000005,SHORT,2026-06-01T12:00:00+00:00,2026-06-01T20:30:00+00:00,4481.8,4492.368006418638,4454.2506859638315,2.6068600779406905,False,2026-06-02T00:45:00+00:00,SL,-1.0,0.0,4489.2,6.336012837277379,28.202743855325803
30000022:roll:HOUR_4:1780344000000:down,GOOGLUSDC,30000022,SHORT,2026-06-01T20:00:00+00:00,2026-06-02T00:15:00+00:00,372.37,374.68837217948106,367.4547071786137,2.1201482940873277,False,2026-06-02T08:30:00+00:00,TP,2.1201482940873277,0.0,373.96,1.4567443589621445,3.138828714454706
30000020:roll:HOUR_4:1780329600000:up,NVDAUSDC,30000020,LONG,2026-06-01T16:00:00+00:00,2026-06-02T02:30:00+00:00,222.24,221.26993435991776,224.30580989229892,2.1295568123861712,False,2026-06-02T05:00:00+00:00,TP,2.1295568123861712,0.0,222.0,0.780131280164501,2.4567604308043047
30000038:roll:HOUR_4:1780315200000:up,TSMUSDC,30000038,LONG,2026-06-01T12:00:00+00:00,2026-06-02T03:45:00+00:00,431.32,429.63161879552354,447.67169259814466,9.684834535465642,True,2026-06-02T16:00:00+00:00,TP1_THEN_TP2,5.842417267732821,0.0,430.59,1.4767624089529685,5.993229607421499
30000040:roll:HOUR_4:1780329600000:up,DRAMUSDC,30000040,LONG,2026-06-01T16:00:00+00:00,2026-06-02T07:00:00+00:00,67.45,67.14202107829531,68.63402665008073,3.844505473059787,True,2026-06-02T09:15:00+00:00,SL,-1.0,0.0,67.44,0.43595784340937793,1.4638933996770693
30000035:roll:HOUR_4:1780315200000:up,MUUSDC,30000035,LONG,2026-06-01T12:00:00+00:00,2026-06-02T09:30:00+00:00,1027.86,1021.4386789769876,1041.3780074695037,2.1051754648395367,False,2026-06-02T11:15:00+00:00,TP,2.1051754648395367,0.0,1025.71,5.0226420460249654,19.647970121984777
30000016:roll:HOUR_4:1780372800000:up,XPTUSDC,30000016,LONG,2026-06-02T04:00:00+00:00,2026-06-02T12:30:00+00:00,1959.24,1950.9904609253124,1977.4318449318293,2.205195316626608,False,2026-06-02T13:30:00+00:00,SL,-1.0,0.0,1953.46,4.099078149374946,18.152620272682523
30000012:roll:HOUR_4:1780315200000:down,AAPLUSDC,30000012,SHORT,2026-06-01T12:00:00+00:00,2026-06-02T14:15:00+00:00,308.39,309.8283194464296,305.122462013103,2.271774879362236,False,2026-06-02T14:30:00+00:00,SL,-1.0,0.0,308.54,0.7366388928592563,1.9698480524120683
30000028:roll:HOUR_4:1780329600000:down,METAUSDC,30000028,SHORT,2026-06-01T16:00:00+00:00,2026-06-02T16:00:00+00:00,606.92,610.0715767467399,598.370076515302,2.712903467618943,False,2026-06-02T20:00:00+00:00,TP,2.712903467618943,0.0,608.94,2.263153493479709,6.520306061207862
30000013:roll:HOUR_4:1780387200000:down,AMZNUSDC,30000013,SHORT,2026-06-02T08:00:00+00:00,2026-06-02T18:45:00+00:00,257.97,258.7566660791734,255.12212997771806,3.6201764607348483,True,2026-06-03T13:30:00+00:00,TP1_THEN_TP2,2.810088230367424,0.0,258.13,0.8133321583467071,2.4085199108722226
30000024:roll:HOUR_4:1780387200000:up,AVGOUSDC,30000024,LONG,2026-06-02T08:00:00+00:00,2026-06-02T21:30:00+00:00,485.04,481.43164815819875,492.84879625178826,2.1640894774524364,False,2026-06-02T22:45:00+00:00,TP,2.1640894774524364,0.0,483.19,2.5767036836025734,9.284814992846984
30000007:roll:HOUR_4:1780401600000:up,COPPERUSDC,30000007,LONG,2026-06-02T12:00:00+00:00,2026-06-02T23:45:00+00:00,6.655,6.641074506495924,6.68555102490735,2.1938917208504773,False,2026-06-03T01:45:00+00:00,SL,-1.0,0.0,6.646,0.009850987008151107,0.05379590037059815
30000003:roll:HOUR_4:1780430400000:down,SOLUSDC,30000003,SHORT,2026-06-02T20:00:00+00:00,2026-06-03T05:30:00+00:00,74.52,75.10345482900595,72.61873370356771,3.2586349480927264,True,2026-06-03T06:45:00+00:00,SL,-1.0,0.0,74.58,0.5869096580119079,1.7949348142708428
